_id,name,name_de,name_fr,name_es,name_it,name_jp,type,sub_type,rarity,carry_capacity,buy,sell,description,icon_name,armor_dupe_name_fix
1,Book of Combos 1,Kombi-Buch 1,"Alchimie, tome 1",Libro combos 1,Libro alchimia 1,調合書①入門編,Tool,,4,1,,100,An introductory text for first-time combiners. Improves your success rate.,Book-Grey.png,
2,Book of Combos 2,Kombi-Buch 2,"Alchimie, tome 2",Libro combos 2,Libro alchimia 2,調合書②初級編,Tool,,4,1,,200,A basic text. Owning Book 1 and this improves your combining success rate.,Book-Grey.png,
3,Book of Combos 3,Kombi-Buch 3,"Alchimie, tome 3",Libro combos 3,Libro alchimia 3,調合書③中級編,Tool,,4,1,,500,"An intermediate text. Owning Books 1, 2 and this improves your combining success rate.",Book-White.png,
4,Book of Combos 4,Kombi-Buch 4,"Alchimie, tome 4",Libro combos 4,Libro alchimia 4,調合書④上級編,Tool,,5,1,,1000,An advanced text. Owning Books 1-3 and this improves your combining success rate.,Book-White.png,
5,Book of Combos 5,Kombi-Buch 5,"Alchimie, tome 5",Libro combos 5,Libro alchimia 5,調合書⑤達人編,Tool,,5,1,,1500,A pro-level text. Owning Books 1-4 and this improves your combining success rate.,Book-Yellow.png,
6,Organizer Guide,Organisierführer,"Comment ranger, tome 1",Guía organizador,Come organizzare 1,収納上手・技の書,Book,,4,1,,,An issue of Hunting Life magazine which explains how to maximize Item Box space.,Book-Blue.png,
7,Pack Rat Guide,Packführer,"Comment ranger, tome 2",Guía chamarilero,Come organizzare 2,収納上手・力の書,Book,,5,1,,,An issue of Hunting Life magazine containing advanced item-cramming techniques.,Book-Red.png,
8,Potion,Trank,Potion,Poción,Pozione,回復薬,Consumable,,1,10,,7,Restores a small amount of Health. Try to combine these into something Mega-better!,Liquid-Green.png,
9,Mega Potion,Megatrank,Méga potion,Megapoción,Mega-pozione,回復薬グレート,Consumable,,2,10,,16,Restores a moderate amount of Health. This potion is a hunter's best friend.,Liquid-Green.png,
10,Nutrients,Nährstoffe,Nutriments,Nutrientes,Nutrienti,栄養剤,Consumable,,2,5,,25,Very slightly increases your maximum Health level.,Liquid-Cyan.png,
11,Mega Nutrients,Mega-Nährstoffe,Méga nutriments,Meganutrientes,Mega-nutrienti,栄養剤グレート,Consumable,,3,5,,92,Slightly increases your maximum Health level.,Liquid-Cyan.png,
12,Antidote,Gegengift,Antidote,Antídoto,Antidoto,解毒薬,Consumable,,1,10,,6,Removes all traces of poison from your system.,Liquid-Blue.png,
13,Immunizer,Impfstoff,Immunisateur,Inmunizador,Immunizzatore,活力剤,Consumable,,3,10,,92,Boosts your natural ability to heal.,Liquid-Yellow.png,
14,Dash Juice,Sprintsaft,Potion de vitalité,Zumo de poder,Supersucco,強走薬,Consumable,,2,5,,29,Lets you run without tiring for a short period of time.,Liquid-Yellow.png,
15,Mega Dash Juice,Mega-Sprintsaft,Potion de vitalité +,Megazumo,Mega-supersucco,強走薬グレート,Consumable,,3,5,,205,Lets you run without tiring for longer than with regular Dash Juice.,Liquid-Yellow.png,
16,Demondrug,Dämonenmittel,Potion du démon,Droga demoníaca,Mistura demoniaca,鬼人薬,Consumable,,4,5,,67,Boosts your Attack by filling you with -- guess what? -- demonic strength.,Liquid-Red.png,
17,Mega Demondrug,Mega-Dämonenmittel,Potion du démon +,Megadroga demon.,Mistura demoniaca+,鬼人薬グレート,Consumable,,5,5,,283,Boosts your Attack even more than a regular Demondrug.,Liquid-Red.png,
18,Might Pill,Machtpille,Philtre du diable,Píldora de poder,Pillola demoniaca,怪力の丸薬,Consumable,,1,5,,280,Temporarily endows you with the strength of a mighty god. Potent!,Sac-Red.png,
