_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,gender,hunter_type,num_slots
1914,Head,1,71,-1,0,1,0,0,Both,Both,1
1915,Body,1,71,-1,0,1,0,0,Both,Both,0
1916,Arms,1,71,-1,0,1,0,0,Both,Both,1
1917,Waist,1,71,-1,0,1,0,0,Both,Both,0
1918,Legs,1,71,-1,0,1,0,0,Both,Both,0
1919,Head,1,71,2,0,1,0,0,Both,Both,1
1920,Body,1,71,2,0,1,0,0,Both,Both,0
1921,Arms,1,71,2,0,1,0,0,Both,Both,0
1922,Waist,1,71,2,0,1,0,0,Both,Both,2
1923,Legs,1,71,2,0,1,0,0,Both,Both,0
1924,Head,4,73,2,-2,0,1,1,Both,Both,1
1925,Body,4,73,2,-2,0,1,1,Both,Both,0
1926,Arms,4,73,2,-2,0,1,1,Both,Both,1
1927,Waist,4,73,2,-2,0,1,1,Both,Both,1
1928,Legs,4,73,2,-2,0,1,1,Both,Both,1
1929,Head,6,112,0,-3,0,1,0,Both,Blade,1
1930,Body,6,112,0,-3,0,1,0,Both,Blade,1
1931,Arms,6,112,0,-3,0,1,0,Both,Blade,1
1932,Waist,6,112,0,-3,0,1,0,Both,Blade,1
1933,Legs,6,112,0,-3,0,1,0,Both,Blade,0
1934,Head,3,72,1,-2,1,2,1,Both,Gunner,1
1935,Body,3,72,1,-2,1,2,1,Both,Gunner,1
1936,Arms,3,72,1,-2,1,2,1,Both,Gunner,1
1937,Waist,3,72,1,-2,1,2,1,Both,Gunner,1
1938,Legs,3,72,1,-2,1,2,1,Both,Gunner,0
1939,Head,7,113,1,-1,0,0,-2,Both,Blade,0
1940,Body,7,113,1,-1,0,0,-2,Both,Blade,1
1941,Arms,7,113,1,-1,0,0,-2,Both,Blade,1
1942,Waist,7,113,1,-1,0,0,-2,Both,Blade,1
1943,Legs,7,113,1,-1,0,0,-2,Both,Blade,1
1944,Head,4,73,2,0,1,1,-1,Both,Gunner,0
1945,Body,4,73,2,0,1,1,-1,Both,Gunner,1
1946,Arms,4,73,2,0,1,1,-1,Both,Gunner,1
1947,Waist,4,73,2,0,1,1,-1,Both,Gunner,1
1948,Legs,4,73,2,0,1,1,-1,Both,Gunner,1
1949,Head,8,114,-1,-2,0,1,-1,Both,Blade,1
1950,Body,8,114,-1,-2,0,1,-1,Both,Blade,1
1951,Arms,8,114,-1,-2,0,1,-1,Both,Blade,1
1952,Waist,8,114,-1,-2,0,1,-1,Both,Blade,0
1953,Legs,8,114,-1,-2,0,1,-1,Both,Blade,0
1954,Head,4,73,0,-1,1,2,0,Both,Gunner,1
1955,Body,4,73,0,-1,1,2,0,Both,Gunner,1
1956,Arms,4,73,0,-1,1,2,0,Both,Gunner,1
1957,Waist,4,73,0,-1,1,2,0,Both,Gunner,0
1958,Legs,4,73,0,-1,1,2,0,Both,Gunner,0
1959,Body,5,73,2,1,0,-3,0,Both,Both,1
1960,Waist,5,73,2,1,0,-3,0,Both,Both,2
1961,Legs,5,73,2,1,0,-3,0,Both,Both,2
1962,Waist,5,73,-2,2,-2,2,2,Both,Both,1
1963,Waist,8,74,4,-6,0,-4,-2,Both,Both,1
1964,Arms,12,116,2,2,2,2,2,Both,Blade,1
1965,Arms,6,73,3,3,3,3,3,Both,Gunner,1
1966,Head,10,116,-4,2,2,-1,-1,Both,Blade,0
1967,Body,10,116,-4,2,2,-1,-1,Both,Blade,0
1968,Arms,10,116,-4,2,2,-1,-1,Both,Blade,0
1969,Waist,10,116,-4,2,2,-1,-1,Both,Blade,0
1970,Legs,10,116,-4,2,2,-1,-1,Both,Blade,0
1971,Head,5,73,-3,3,3,0,0,Both,Gunner,0
1972,Body,5,73,-3,3,3,0,0,Both,Gunner,0
1973,Arms,5,73,-3,3,3,0,0,Both,Gunner,0
1974,Waist,5,73,-3,3,3,0,0,Both,Gunner,0
1975,Legs,5,73,-3,3,3,0,0,Both,Gunner,0
1976,Head,10,116,-2,0,1,2,-1,Both,Blade,2
1977,Body,10,116,-2,0,1,2,-1,Both,Blade,0
1978,Head,5,73,-1,1,2,3,0,Both,Gunner,3
1979,Body,5,73,-1,1,2,3,0,Both,Gunner,0
1980,Head,8,114,1,-1,1,-1,-1,Both,Blade,1
1981,Body,8,114,1,-1,1,-1,-1,Both,Blade,1
1982,Arms,8,114,1,-1,1,-1,-1,Both,Blade,1
1983,Waist,8,114,1,-1,1,-1,-1,Both,Blade,1
