_id,item_id,skill_tree_id,point_value
1,1572,118,1
2,1572,121,-1
3,1573,118,3
4,1573,121,-1
5,1574,118,-1
6,1574,119,1
7,1575,118,-1
8,1575,119,3
9,1576,120,1
10,1576,122,-1
11,1577,120,3
12,1577,122,-1
13,1578,119,-1
14,1578,121,1
15,1579,121,2
16,1580,120,-1
17,1580,122,1
18,1581,122,2
19,1582,136,2
20,1583,129,2
21,1584,135,2
22,1585,39,-1
23,1585,128,1
24,1586,39,-2
25,1586,128,4
26,1587,125,2
27,1588,40,2
28,1589,102,-1
29,1589,111,1
30,1590,102,-1
31,1590,111,3
32,1591,19,-1
33,1591,42,1
34,1592,19,-2
35,1592,42,4
36,1593,19,1
37,1593,42,-1
38,1594,19,2
39,1594,42,-2
40,1595,19,3
41,1595,42,-2
42,1596,18,1
43,1596,19,-1
44,1597,18,4
45,1597,19,-2
46,1598,37,1
47,1598,89,-1
48,1599,37,3
49,1599,89,-1
50,1600,37,5
51,1600,89,-1
52,1601,45,2
53,1602,43,1
54,1602,99,-1
55,1603,43,3
56,1603,99,-1
57,1604,44,1
58,1604,49,-1
59,1605,44,3
60,1605,49,-1
61,1606,22,1
62,1606,23,-1
63,1607,22,3
64,1607,23,-1
65,1608,22,-1
66,1608,23,1
67,1609,22,-2
68,1609,23,4
69,1610,57,-1
70,1610,132,1
71,1611,57,-1
72,1611,132,3
73,1612,23,-1
74,1612,58,1
75,1613,23,-2
76,1613,58,4
77,1614,23,-1
78,1614,59,1
79,1615,23,-2
80,1615,59,4
81,1616,23,-1
82,1616,60,1
83,1617,23,-2
84,1617,60,4
85,1618,22,-1
86,1618,64,1
87,1619,22,-1
88,1619,64,3
89,1620,65,2
90,1621,66,2
91,1622,67,2
92,1623,22,-1
93,1623,68,1
94,1624,48,1
95,1624,84,-1
96,1625,48,3
97,1625,84,-1
98,1626,48,-1
99,1626,84,1
100,1627,48,-2
101,1627,84,4
102,1628,47,2
103,1629,114,2
104,1630,98,2
105,1631,31,1
106,1631,32,-1
107,1632,31,3
108,1632,32,-1
109,1633,31,5
110,1633,32,-1
111,1634,31,-1
112,1634,32,1
113,1635,31,-1
114,1635,32,3
115,1636,31,-1
116,1636,32,5
117,1637,113,1
118,1638,113,2
119,1639,41,1
120,1639,113,-1
121,1640,41,4
122,1640,113,-2
123,1641,124,2
124,1642,94,1
125,1642,125,-1
126,1643,94,3
127,1643,125,-1
128,1644,115,2
129,1645,85,1
130,1645,86,-1
131,1646,86,1
132,1646,87,-1
133,1647,85,-1
134,1647,88,1
135,1648,87,1
136,1648,88,-1
137,1649,89,1
138,1649,118,-1
139,1650,106,2
140,1651,107,2
141,1652,35,-1
142,1652,101,1
143,1653,35,-1
144,1653,101,3
145,1654,33,2
146,1655,90,2
147,1656,112,2
148,1657,35,1
149,1657,112,-1
150,1658,35,4
151,1658,112,-2
152,1659,91,2
153,1660,93,1
154,1660,111,-1
155,1661,93,3
156,1661,111,-1
157,1662,103,2
158,1663,104,2
159,1664,39,1
160,1664,40,-1
161,1665,39,3
162,1665,40,-1
163,1666,46,1
164,1666,113,-1
165,1667,46,3
166,1667,113,-1
167,1668,63,2
168,1669,49,1
169,1669,114,-1
170,1670,49,4
171,1670,114,-2
172,1671,22,-1
173,1671,57,1
174,1672,22,-2
175,1672,57,2
176,1673,22,-2
177,1673,57,3
178,1674,78,2
179,1675,93,-1
180,1675,102,1
181,1676,93,-2
182,1676,102,4
183,1677,97,-1
184,1677,133,2
185,1678,112,-1
186,1678,134,2
187,1679,34,1
188,1679,35,-1
189,1680,34,4
190,1680,35,-2
191,1681,120,-1
192,1681,123,1
193,1682,123,2
194,1683,40,-1
195,1683,51,1
196,1684,40,-1
197,1684,51,3
198,1685,20,1
199,1685,37,-1
200,1686,20,3
201,1686,37,-1
202,1687,116,2
203,1688,49,-1
204,1688,99,1
205,1689,49,-1
206,1689,99,3
207,1690,35,-1
208,1690,36,1
209,1691,35,-2
210,1691,36,4
211,1692,92,2
212,1693,53,1
213,1693,99,-1
214,1694,53,4
215,1694,99,-2
216,1695,21,1
217,1695,42,-1
218,1696,21,4
219,1696,42,-2
220,1697,30,1
221,1697,40,-1
222,1698,17,1
223,1698,48,-1
224,1699,17,2
225,1699,48,-2
226,1700,17,3
227,1700,48,-2
228,1701,31,-1
229,1701,130,1
230,1702,31,-1
231,1702,130,3
232,1703,31,-1
233,1703,131,1
234,1704,31,-1
235,1704,131,3
236,1705,93,-1
237,1705,96,1
238,1706,93,-1
239,1706,96,3
240,1707,22,-1
241,1707,24,1
242,1708,22,-2
243,1708,24,4
244,1709,126,2
245,1710,62,2
246,1711,79,1
247,1711,80,-1
248,1712,79,3
249,1712,80,-1
250,1713,80,1
251,1713,81,-1
252,1714,80,3
253,1714,81,-1
254,1715,81,1
255,1715,82,-1
256,1716,81,3
257,1716,82,-1
258,1717,79,-1
259,1717,82,1
260,1718,79,-1
261,1718,82,3
