_id,parent_id,wtype,creation_cost,upgrade_cost,attack,max_attack,element,element_attack,element_2,element_2_attack,awaken,awaken_attack,defense,sharpness,affinity,horn_notes,shelling_type,phial,charges,coatings,recoil,reload_speed,rapid_fire,deviation,ammo,special_ammo,num_slots,tree_depth,final
5001,0,Great Sword,750,,288,,,,,,,,0,11.16.3.0.0.0.0 11.16.9.2.0.0.0,,,,,,,,,,,,,0,0,0
5002,5001,Great Sword,975,650,336,,,,,,,,0,13.11.6.0.0.0.0 13.11.12.2.0.0.0,,,,,,,,,,,,,0,1,0
5003,5002,Great Sword,850,,384,,,,,,,,0,12.11.5.2.0.0.0 12.11.5.10.0.0.0,,,,,,,,,,,,,0,2,0
5004,5003,Great Sword,,1400,480,,,,,,,,0,6.6.14.4.0.0.0 6.6.14.12.0.0.0,,,,,,,,,,,,,0,3,0
5005,5004,Great Sword,1750,,528,,,,,,,,10,10.6.8.6.0.0.0 10.6.8.14.0.0.0,,,,,,,,,,,,,0,4,0
5006,5005,Great Sword,9525,6350,624,,,,,,,,15,11.11.7.9.0.0.0 11.11.7.17.0.0.0,,,,,,,,,,,,,1,5,0
5007,5006,Great Sword,,20000,720,,,,,,Fire,250,20,7.11.12.16.0.0.0 7.11.12.16.8.0.0,5,,,,,,,,,,,,2,6,0
5008,5007,Great Sword,,30000,768,,,,,,Fire,380,30,12.6.17.16.3.0.0 12.6.17.16.9.2.0,5,,,,,,,,,,,,3,7,0
5009,5008,Great Sword,90000,60000,1104,,,,,,Fire,400,35,10.7.17.14.6.0.0 10.7.17.14.9.5.0,10,,,,,,,,,,,,3,8,0
5010,5009,Great Sword,,100000,1248,,,,,,Fire,430,40,5.10.13.18.14.2.0 5.10.13.18.14.6.3,10,,,,,,,,,,,,3,9,1
5011,5006,Great Sword,,20000,720,,Poison,300,,,,,0,29.3.9.13.0.0.0 29.3.9.13.6.2.0,15,,,,,,,,,,,,1,6,0
5012,5011,Great Sword,,30000,768,,Poison,370,,,,,0,22.3.13.14.2.0.0 22.3.13.14.6.4.0,20,,,,,,,,,,,,2,7,0
5013,5012,Great Sword,90000,60000,1056,,Poison,420,,,,,0,14.6.17.11.6.0.0 14.6.17.11.9.5.0,20,,,,,,,,,,,,2,8,0
5014,5013,Great Sword,,100000,1152,,Poison,470,,,,,0,24.7.7.8.10.6.0 24.7.7.8.10.13.0,30,,,,,,,,,,,,3,9,1
5015,5004,Great Sword,6375,4250,528,,Thunder,250,,,,,0,4.5.26.11.0.0.0 4.5.26.13.6.0.0,,,,,,,,,,,,,0,4,0
5016,5015,Great Sword,,30000,720,,Thunder,350,,,,,0,4.11.25.10.2.2.0 4.11.25.10.2.10.0,,,,,,,,,,,,,1,5,0
5017,5016,Great Sword,,60000,816,,Thunder,450,,,,,0,12.18.11.7.4.2.0 12.18.11.7.4.10.0,,,,,,,,,,,,,1,6,0
5018,5017,Great Sword,127500,85000,1008,,Thunder,550,,,,,0,16.7.19.11.6.3.0 16.7.19.11.6.10.0,,,,,,,,,,,,,1,7,0
5019,5018,Great Sword,,110000,1200,,Thunder,630,,,,,0,10.5.15.14.16.2.0 10.5.15.14.16.7.2,,,,,,,,,,,,,1,8,0
5020,5003,Great Sword,3225,2150,624,,,,,,,,0,6.9.12.3.0.0.0 6.9.12.11.0.0.0,-10,,,,,,,,,,,,0,3,0
5021,5020,Great Sword,,6350,720,,,,,,,,0,6.6.13.5.0.0.0 6.6.13.13.0.0.0,-10,,,,,,,,,,,,0,4,0
5022,5021,Great Sword,,20000,864,,,,,,Water,200,0,10.5.15.8.0.0.0 10.5.15.14.2.0.0,-20,,,,,,,,,,,,0,5,0
5023,5022,Great Sword,,35000,912,,,,,,Water,270,0,7.5.20.14.0.0.0 7.5.20.16.6.0.0,-20,,,,,,,,,,,,0,6,0
5024,5023,Great Sword,,60000,1248,,,,,,Blastblight,350,0,10.4.15.15.2.0.0 10.4.15.15.10.0.0,-20,,,,,,,,,,,,1,7,0
5025,5024,Great Sword,,100000,1392,,,,,,Blastblight,420,0,12.6.18.14.4.0.0 12.6.18.14.8.4.0,-20,,,,,,,,,,,,1,8,1
5026,5020,Great Sword,,7150,768,,,,,,,,20,2.8.26.2.0.0.0 2.8.26.10.0.0.0,,,,,,,,,,,,,0,4,0
5027,5026,Great Sword,,30000,960,,,,,,Fire,150,25,19.16.8.3.0.0.0 19.16.8.8.3.0.0,,,,,,,,,,,,,1,5,0
5028,5027,Great Sword,,45000,1008,,,,,,Fire,370,30,4.11.25.6.0.0.0 4.11.25.11.1.2.0,,,,,,,,,,,,,3,6,0
5029,5028,Great Sword,,95000,1392,,,,,,Fire,380,40,6.20.12.8.0.0.0 6.20.12.10.4.2.0,,,,,,,,,,,,,3,7,0
5030,5029,Great Sword,,120000,1488,,,,,,Fire,390,50,5.10.25.14.0.0.0 5.10.25.16.2.4.0,,,,,,,,,,,,,3,8,0
5031,5002,Great Sword,2100,1400,480,,,,,,,,0,5.10.12.3.0.0.0 5.10.12.11.0.0.0,,,,,,,,,,,,,0,2,0
5032,5031,Great Sword,,1750,528,,,,,,,,0,4.3.27.4.0.0.0 4.3.27.12.0.0.0,,,,,,,,,,,,,0,3,0
5033,5032,Great Sword,12000,8000,576,,Dragon,150,,,,,0,4.10.26.6.0.0.0 4.10.26.11.1.2.0,25,,,,,,,,,,,,1,4,0
5034,5033,Great Sword,,12000,624,,Dragon,200,,,,,0,14.12.12.6.2.0.0 14.12.12.6.8.2.0,35,,,,,,,,,,,,1,5,0
5035,5034,Great Sword,,30000,672,,Dragon,220,,,,,0,11.19.11.7.4.2.0 11.19.11.7.4.10.0,45,,,,,,,,,,,,1,6,0
5036,5035,Great Sword,,60000,768,,Dragon,250,,,,,0,15.10.13.7.7.2.0 15.10.13.7.7.10.0,65,,,,,,,,,,,,1,7,0
