_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_jp,description,description_de,description_fr,description_es,description_it,description_jp
1,1,1,Torso Up,RumpfVerst,Torse +,Torso+,Torso+,胴系統倍加,,,,,,胴パーツのスキルポイントが2倍になる
2,2,10,Honed Blade,Geschl. Klinge,Katana,Punzante,Lama affilata,真打,"Greatly increases Attack, and raises your weapon's Sharpness.",Erhöht Angriff stark und verbessert die Schärfe deiner Waffe.,Augmente beaucoup l'attaque et augmente le tranchant de votre arme.,Aumenta mucho el ataque y sube el afilado de tu arma.,Aumenta molto l'attacco e aumenta l'acutezza dell'arma.,斬れ味レベル+1 ＋ 攻撃力UP【大】
3,3,10,Silver Bullet,Silberkugel,Balle d'argent,Pulso firme,Super-munizioni,剛弾,"Increases the power of Normal, Pierce and Pellet shots, and Rapid, Pierce and Spread-type arrows.","Erhöht Kraft v. Normal-, Perforier- u. Schrot-Schüssen u. schnellen, Perforier- und Streupfeilen.","Augmente la puissance des mun. normales/perçantes/grenailles, flèche rapide/perçant/dispersée.","Aumenta la potencia de disparo normal, perforador y perdigón, y flechas salva, abanico y perforantes.","Potenzia proiettili normali, perforanti, a vent. e frecce rapide, perforanti e a rosa.",通常弾強化 ＋ 散弾強化 ＋ 貫通弾強化
4,4,10,Wellness,Wohlbefinden,Bien-être,Bienestar,Benessere,護法,"Prevents Poison, Paralysis, Sleep, and Stun.","Verhindert Gift, Lähmung, Schlaf und Betäubung.","Annule le poison, la paralysie, le sommeil et l'étourdissement.","Previene el veneno, la parálisis, el sueño y el aturdimiento.","Previene veleno, paralisi, sonno e stordimento.",毒無効 ＋ 気絶無効 ＋ 麻痺無効 ＋ 睡眠無効
5,5,10,Wrath Awoken,Erwachter Zorn,Courroucé,Furia,Furia ridesta,逆鱗,"At higher Health, grants Guts effects; at lower Health, boosts Attack and Defense.","Verleiht Mut-Effekte bei hoher Gesundheit, steigert Angriff u. Verteid. bei niedr. Gesundheit.",Vie élevée : Effet Bravoure. Vie basse : Augmente l'attaque et la défense.,"Con un nivel alto de salud, da los efectos de tripas; con nivel bajo, potencia ataque y defensa.","Con la barra vita piena, dona l'abilità coraggio. Con la barra bassa, aumenta attacco e difesa.",根性 ＋ 火事場力+2
6,6,15,Bio Master,Bio-Meister,Maître bio,Biólogo,Biologo,バイオドクター,Increases Dung Bomb efficacy. Prevents item usage blocks and Blastblight. Delays the Frenzy.,Erhöht Dungbomben-Effizienz. Verhindert Objektblockierungen u. Sprengschaden. Verzögert Raserei.,Augmente l'efficacité des bouses. Empêche le blocage des objets et le fléau-explosion. Retarde la furie.,La bomba boñiga es más eficaz. Evita bloqueo de uso de objetos y plaga nitro. Retarda la cólera.,Migliora la bomba-letame. Annulla il blocco degli oggetti e scoppio. Ritarda la frenesia.,こやし玉を当てたモンスターが必ずエリア移動する。肥やし玉の調合が必ず成功する。一部アイテム使用不可、爆破やられにならなくなる。狂竜症発症時間が0.8倍に緩和される
7,6,10,Bio Researcher,Bio-Forscher,Chercheur bio,Bioinvestigador,Bioricercatore,細菌研究家,Increases Dung Bomb efficacy. Prevents item usage blocks and Blastblight.,Erhöht Dungbomben-Effizienz. Verhindert Objektblockierungen und Sprengschaden.,Augmente l'efficacité des bouses. Empêche le blocage des objets et le fléau-explosion.,La bomba boñiga es más eficaz. Evita bloqueo de uso de objetos y la plaga nitro.,Migliora la bomba-letame. Annulla il blocco degli oggetti e danni da scoppio.,こやし玉を当てたモンスターが必ずエリア移動する。肥やし玉の調合が必ず成功する。一部アイテム使用不可、爆破やられにならなくなる
8,7,10,Acrobat,Akrobat,Acrobate,Acróbata,Agile,軽業師,"Slows Stamina depletion when blocking, evading, or dive-evading. Increases evasion invulnerability.","Senkt Ausdauerverlust für Blocken, Ausweichen u. Tauchausweichen. Erhöht Ausweich-Unverwundbarkeit.",Ralentit la dim. de stamina en cas de bloc./évasion/esquive. Prolonge l'invincibilité en cas d'évasion.,"Reduce el gasto de resistencia al bloquear, evadir o evadir en carrera. Más invulnerabilidad a evasión.","Blocchi, schivi e schivi in tuffo consumando meno resistenza. Aumenta invulnerabilità schivata.",回避性能+1 ＋ 体術+1 。※ただし、体術の「大型モンスターに向かって緊急回避が出せるようになり、移動距離が増える」の効果はない
9,8,10,Sheath Control,WegsteckKontrlle,Iai-jutsu,Iai-jutsu,Estrazione lampo,居合術【力】,"Grants ability to Stun monsters with draw attacks from cutting weapons. Also allows faster sheathing, etc.","Ermöglicht Betäuben von Monstern mit Schnittwaffen-Schnellangriffen, schnelleres Wegstecken usw.","Permet d'étourdir des monstres en dégainant une lame et de rengainer plus vite, etc.","Permite aturdir a monstruos con desenfundadura de armas cortantes y enfundar más rápido, etc.",Permette di stordire i mostri con attacchi rapidi di armi da taglio e sfoderare prima l'arma.,抜刀術【力】 ＋ 納刀術
10,9,10,Iron Wall,Eiserne Wand,Mur d'acier,Muro de hierro,Muro di ferro,鉄壁,Increases your Defense and negates the effects of Defense Down.,Erhöht Verteidigung und negiert die Effekte von Verteidigung runter.,Augmente la défense et annule les effets de Défense -.,Aumenta la defensa y anula los efectos de defensa reducida.,Aumenta la difesa e annulla gli effetti di Difesa -.,防御力UP【中】 ＋ 鉄面皮
